dbms	TABLE_CATALOG	TABLE_SCHEMA	TABLE_NAME	COLUMN_NAME	ORDINAL_POSITION	DATA_TYPE	CHARACTER_MAXIMUM_LENGTH	CONSTRAINT_TYPE	TABLE_SCHEMA	TABLE_NAME	COLUMN_NAME
sqlserver	silver	dbo	silver_matches	source	1	varchar	16	PRIMARY KEY			
sqlserver	silver	dbo	silver_matches	match_id	2	varchar	64	PRIMARY KEY			
sqlserver	silver	dbo	silver_matches	queue_id	3	int		FOREIGN KEY	dbo	silver_queues	queue_id
sqlserver	silver	dbo	silver_matches	map_id	4	int		FOREIGN KEY	dbo	silver_maps	map_id
sqlserver	silver	dbo	silver_matches	platform	5	varchar	64				
sqlserver	silver	dbo	silver_matches	game_version	6	varchar	64				
sqlserver	silver	dbo	silver_matches	patch	7	varchar	64				
sqlserver	silver	dbo	silver_matches	started_at	8	datetime2					
sqlserver	silver	dbo	silver_matches	duration_seconds	9	int					
sqlserver	silver	dbo	silver_matches	timeline_status	10	varchar	64				
sqlserver	silver	dbo	silver_matches	input_hash	11	char	64				
sqlserver	silver	dbo	silver_matches	transform_run_id	12	bigint		FOREIGN KEY	dbo	silver_transform_runs	transform_run_id
sqlserver	silver	dbo	silver_match_teams	source	1	varchar	16	PRIMARY KEY			
sqlserver	silver	dbo	silver_match_teams	source	1	varchar	16	FOREIGN KEY	dbo	silver_matches	source
sqlserver	silver	dbo	silver_match_teams	match_id	2	varchar	64	PRIMARY KEY			
sqlserver	silver	dbo	silver_match_teams	match_id	2	varchar	64	FOREIGN KEY	dbo	silver_matches	match_id
sqlserver	silver	dbo	silver_match_teams	team_id	3	int		PRIMARY KEY			
sqlserver	silver	dbo	silver_match_teams	win	4	bit					
sqlserver	silver	dbo	silver_match_participants	source	1	varchar	16	PRIMARY KEY			
sqlserver	silver	dbo	silver_match_participants	source	1	varchar	16	FOREIGN KEY	dbo	silver_match_teams	source
sqlserver	silver	dbo	silver_match_participants	match_id	2	varchar	64	PRIMARY KEY			
sqlserver	silver	dbo	silver_match_participants	match_id	2	varchar	64	FOREIGN KEY	dbo	silver_match_teams	match_id
sqlserver	silver	dbo	silver_match_participants	participant_id	3	int		PRIMARY KEY			
sqlserver	silver	dbo	silver_match_participants	team_id	4	int		FOREIGN KEY	dbo	silver_match_teams	team_id
sqlserver	silver	dbo	silver_match_participants	puuid	5	varchar	128	FOREIGN KEY	dbo	silver_players	puuid
sqlserver	silver	dbo	silver_match_participants	champion_id	6	int		FOREIGN KEY	dbo	silver_champions	champion_id
sqlserver	silver	dbo	silver_match_participants	source_position	7	varchar	64				
sqlserver	silver	dbo	silver_match_participants	normalized_role	8	varchar	64				
sqlserver	silver	dbo	silver_match_participants	win	9	bit					
sqlserver	silver	dbo	silver_match_participants	kills	10	int					
sqlserver	silver	dbo	silver_match_participants	deaths	11	int					
sqlserver	silver	dbo	silver_match_participants	assists	12	int					
sqlserver	silver	dbo	silver_match_participants	gold_earned	13	int					
sqlserver	silver	dbo	silver_match_participants	lane_cs	14	int					
sqlserver	silver	dbo	silver_match_participants	neutral_cs	15	int					
sqlserver	silver	dbo	silver_match_participants	champion_damage	16	int					
sqlserver	silver	dbo	silver_match_participants	vision_score	17	int					
sqlserver	silver	dbo	silver_players	puuid	1	varchar	128	PRIMARY KEY			
sqlserver	silver	dbo	silver_champions	champion_id	1	int		PRIMARY KEY			
sqlserver	silver	dbo	silver_participant_items	source	1	varchar	16	PRIMARY KEY			
sqlserver	silver	dbo	silver_participant_items	source	1	varchar	16	FOREIGN KEY	dbo	silver_match_participants	source
sqlserver	silver	dbo	silver_participant_items	match_id	2	varchar	64	PRIMARY KEY			
sqlserver	silver	dbo	silver_participant_items	match_id	2	varchar	64	FOREIGN KEY	dbo	silver_match_participants	match_id
sqlserver	silver	dbo	silver_participant_items	participant_id	3	int		PRIMARY KEY			
sqlserver	silver	dbo	silver_participant_items	participant_id	3	int		FOREIGN KEY	dbo	silver_match_participants	participant_id
sqlserver	silver	dbo	silver_participant_items	slot	4	int		PRIMARY KEY			
sqlserver	silver	dbo	silver_participant_items	item_id	5	int		FOREIGN KEY	dbo	silver_items	item_id
